0.6, -1.4272
0.61, -1.56353
0.62, -1.70065
0.63, -1.83853
0.64, -1.97712
0.65, -2.11637
0.66, -2.25623
0.67, -2.39667
0.68, -2.53762
0.69, -2.67904
0.7, -2.82089
0.71, -2.9631
0.72, -3.10564
0.73, -3.24845
0.74, -3.39148
0.75, -3.53467
0.76, -3.67797
0.77, -3.82133
0.78, -3.96469
0.79, -4.108
0.8, -4.2512
0.81, -4.39423
0.82, -4.53705
0.83, -4.67958
0.84, -4.82177
0.85, -4.96356
0.86, -5.10489
0.87, -5.2457
0.88, -5.38593
0.89, -5.52551
0.9, -5.66439
0.91, -5.8025
0.92, -5.93977
0.93, -6.07614
0.94, -6.21155
0.95, -6.34593
0.96, -6.47921
0.97, -6.61133
0.98, -6.74221
0.99, -6.87179
1, -7
1.01, -7.12677
1.02, -7.25202
1.03, -7.37569
1.04, -7.49771
1.05, -7.61799
1.06, -7.73648
1.07, -7.85308
1.08, -7.96774
1.09, -8.08036
1.1, -8.19089
1.11, -8.29923
1.12, -8.40532
1.13, -8.50907
1.14, -8.6104
1.15, -8.70924
1.16, -8.80551
1.17, -8.89912
1.18, -8.98999
1.19, -9.07805
1.2, -9.1632
1.21, -9.24537
1.22, -9.32446
1.23, -9.4004
1.24, -9.47311
1.25, -9.54248
1.26, -9.60844
1.27, -9.6709
1.28, -9.72977
1.29, -9.78496
1.3, -9.83639
1.31, -9.88395
1.32, -9.92757
1.33, -9.96715
1.34, -10.0026
1.35, -10.0338
1.36, -10.0607
1.37, -10.0832
1.38, -10.1012
1.39, -10.1145
1.4, -10.1232
1.41, -10.1271
1.42, -10.126
1.43, -10.12
1.44, -10.1089
1.45, -10.0926
1.46, -10.071
1.47, -10.044
1.48, -10.0116
1.49, -9.97347
1.5, -9.92969
1.51, -9.8801
1.52, -9.82461
1.53, -9.7631
1.54, -9.69547
1.55, -9.62162
1.56, -9.54143
1.57, -9.45481
1.58, -9.36163
1.59, -9.2618
1.6, -9.1552
1.61, -9.04172
1.62, -8.92126
1.63, -8.79369
1.64, -8.65891
1.65, -8.51681
1.66, -8.36726
1.67, -8.21016
1.68, -8.04539
1.69, -7.87284
1.7, -7.69239
1.71, -7.50392
1.72, -7.30731
1.73, -7.10245
1.74, -6.88921
1.75, -6.66748
1.76, -6.43714
1.77, -6.19806
1.78, -5.95013
1.79, -5.69321
1.8, -5.4272
1.81, -5.15196
1.82, -4.86737
1.83, -4.5733
1.84, -4.26964
1.85, -3.95624
1.86, -3.63299
1.87, -3.29976
1.88, -2.95642
1.89, -2.60284
1.9, -2.23889
1.91, -1.86444
1.92, -1.47935
1.93, -1.08351
1.94, -0.676764
1.95, -0.258993
1.96, 0.16994
1.97, 0.610171
1.98, 1.06183
1.99, 1.52506
2, 2
